nom,date,contacts_seen,cumulative_confirmed_cases,cumulative_confirmed_deaths,cumulative_contacts_isolated,cumulative_contacts_traced,cumulative_suspected_cases,cumulative_suspected_deaths,hosp_escaped,hospitalised,in_bed_previous_day,national_cumulative_confirmed_cases,national_cumulative_confirmed_deaths,national_cumulative_recovered_cases,national_cumulative_suspected_cases,national_cumulative_suspected_deaths,national_suspected_cases_in_isolation,national_suspected_cases_under_investigation,new_confirmed_cases,new_contacts_isolated,new_contacts_listed,new_hosp_admissions,new_hosp_detainees,new_hosp_other,new_suspected_cases,new_suspected_deaths,total_poe_hand_washing,total_poe_passed,total_poe_refused_hand_washing,total_poe_refused_screening,total_poe_sanitised,total_poe_screened,min_minutes_to_active_zone,flowminder_short_trips__ituri_subscriber_days_followup_20260608,flowminder_short_trips__ituri_subscriber_days_prior_20260503,flowminder_short_trips__nk_subscriber_days_followup_20260608,flowminder_short_trips__nk_subscriber_days_prior_20260503,flowminder_short_trips__outflow_20260430,flowminder_short_trips__outflow_20260507,flowminder_short_trips__outflow_20260514,flowminder_short_trips__outflow_20260521,flowminder_short_trips__outflow_20260524,pop_count,pop_density
Damas,2026-05-26,,0.0,,,,4.0,2.0,,,,,,,,,,,0.0,,,,,,4.0,2.0,,,,,,,0.0,0.1966,0.2145,0.001714,0.001844,1.87,2.6,2.91,3.2,3.32,94819.6207671287,53.1851080273012
Damas,2026-05-27,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.702,0.1966,0.2145,0.001714,0.001844,1.87,2.6,2.91,3.2,3.32,94819.6207671287,53.1851080273012
Damas,2026-05-28,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1966,0.2145,0.001714,0.001844,1.87,2.6,2.91,3.2,3.32,94819.6207671287,53.1851080273012
Damas,2026-05-29,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,1.0,0.0,,,,,,,0.0,0.1966,0.2145,0.001714,0.001844,1.87,2.6,2.91,3.2,3.32,94819.6207671287,53.1851080273012
Fataki,2026-05-26,,0.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,,1.0,0.0,,,,,,,0.0,0.03742,0.05076,0.001754,0.002265,0.51,0.82,1.06,1.27,1.35,158031.619593787,374.843916988277
Fataki,2026-05-27,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.153,0.03742,0.05076,0.001754,0.002265,0.51,0.82,1.06,1.27,1.35,158031.619593787,374.843916988277
Fataki,2026-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.819,0.03742,0.05076,0.001754,0.002265,0.51,0.82,1.06,1.27,1.35,158031.619593787,374.843916988277
Fataki,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.819,0.03742,0.05076,0.001754,0.002265,0.51,0.82,1.06,1.27,1.35,158031.619593787,374.843916988277
Gety,2026-05-28,,1.0,0.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.2987,0.3174,0.002639,0.003246,1.61,2.18,2.45,2.69,2.77,143441.825292575,86.0299313935469
Gety,2026-05-29,,1.0,0.0,,,3.0,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,0.0,0.2987,0.3174,0.002639,0.003246,1.61,2.18,2.45,2.69,2.77,143441.825292575,86.0299313935469
Goma,2026-05-18,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,0.0,0.004881,0.00579,0.02733,0.03331,0.06,0.08,0.11,0.13,0.14,282838.298423046,8413.39578071933
Goma,2026-05-19,,1.0,,,,1.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,0.004881,0.00579,0.02733,0.03331,0.06,0.08,0.11,0.13,0.14,282838.298423046,8413.39578071933
Goma,2026-05-20,,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,0.004881,0.00579,0.02733,0.03331,0.06,0.08,0.11,0.13,0.14,282838.298423046,8413.39578071933
Goma,2026-05-21,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,0.0,0.004881,0.00579,0.02733,0.03331,0.06,0.08,0.11,0.13,0.14,282838.298423046,8413.39578071933
Goma,2026-05-22,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,0.0,0.004881,0.00579,0.02733,0.03331,0.06,0.08,0.11,0.13,0.14,282838.298423046,8413.39578071933
Goma,2026-05-23,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.004881,0.00579,0.02733,0.03331,0.06,0.08,0.11,0.13,0.14,282838.298423046,8413.39578071933
Goma,2026-05-24,,1.0,0.0,,28.0,0.0,0.0,,,,,,,,,,,0.0,,28.0,,,,,3.0,,,,,,,254.962,0.004881,0.00579,0.02733,0.03331,0.06,0.08,0.11,0.13,0.14,282838.298423046,8413.39578071933
Goma,2026-05-25,,1.0,0.0,,28.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,,254.962,0.004881,0.00579,0.02733,0.03331,0.06,0.08,0.11,0.13,0.14,282838.298423046,8413.39578071933
Goma,2026-05-26,,1.0,0.0,,28.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,,9.047,0.004881,0.00579,0.02733,0.03331,0.06,0.08,0.11,0.13,0.14,282838.298423046,8413.39578071933
Goma,2026-05-27,,1.0,0.0,,74.0,0.0,0.0,,,,,,,,,,,0.0,,46.0,,,,,,,,,,,,254.962,0.004881,0.00579,0.02733,0.03331,0.06,0.08,0.11,0.13,0.14,282838.298423046,8413.39578071933
Goma,2026-05-28,,1.0,0.0,,74.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,254.962,0.004881,0.00579,0.02733,0.03331,0.06,0.08,0.11,0.13,0.14,282838.298423046,8413.39578071933
Goma,2026-05-29,,1.0,0.0,,140.0,0.0,0.0,,,,,,,,,,,,,66.0,,,,,,,,,,,,254.962,0.004881,0.00579,0.02733,0.03331,0.06,0.08,0.11,0.13,0.14,282838.298423046,8413.39578071933
Jiba,2026-05-28,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,75957.2250580462,218.661338075381
Jiba,2026-05-29,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,0.0,,,,,,,,,,75957.2250580462,218.661338075381
Kalunguta,2026-05-24,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,,,,,,,64.758,0.008103,0.007899,0.5234,0.5897,0.15,0.28,0.38,0.51,0.55,191731.550595345,217.291453102909
Kalunguta,2026-05-25,,1.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,60.569,0.008103,0.007899,0.5234,0.5897,0.15,0.28,0.38,0.51,0.55,191731.550595345,217.291453102909
Kalunguta,2026-05-26,,1.0,,,,2.0,0.0,,,,,,,,,,,0.0,,,,,,2.0,0.0,,,,,,,0.0,0.008103,0.007899,0.5234,0.5897,0.15,0.28,0.38,0.51,0.55,191731.550595345,217.291453102909
Kalunguta,2026-05-27,,2.0,,,,13.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,0.008103,0.007899,0.5234,0.5897,0.15,0.28,0.38,0.51,0.55,191731.550595345,217.291453102909
Kalunguta,2026-05-28,,1.0,1.0,,,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.008103,0.007899,0.5234,0.5897,0.15,0.28,0.38,0.51,0.55,191731.550595345,217.291453102909
Kalunguta,2026-05-29,,1.0,1.0,,,13.0,0.0,,,,,,,,,,,,,20.0,,,,,,,,,,,,0.0,0.008103,0.007899,0.5234,0.5897,0.15,0.28,0.38,0.51,0.55,191731.550595345,217.291453102909
Karisimbi,2026-05-24,,,,,249.0,,,,,,,,,,,,,,,249.0,,,,,,,,,,,,254.251,0.004168,0.005237,0.02799,0.03712,0.05,0.08,0.1,0.13,0.13,403400.688067297,8149.33562491542
Karisimbi,2026-05-25,,,,,249.0,,0.0,,,,,,,,,,,1.0,,0.0,,,,,0.0,,,,,,,254.251,0.004168,0.005237,0.02799,0.03712,0.05,0.08,0.1,0.13,0.13,403400.688067297,8149.33562491542
