nom,date,min_minutes_to_active_zone
Kunda,2026-05-18,879.929
Saramabila,2026-05-18,640.946
Kampene,2026-05-18,752.813
Nyemba,2026-05-18,659.913
Nyunzu,2026-05-18,824.102
Kabambare,2026-05-18,659.247
Pangi,2026-05-18,700.3
Kalima,2026-05-18,677.225
Yalimbongo,2026-05-18,1020.166
Aketi,2026-05-18,1059.645
Lolo,2026-05-18,1103.291
Yamongili,2026-05-18,1197.717
Abuzi,2026-05-18,1302.296
Yambuku,2026-05-18,1224.253
Wasolo,2026-05-18,1269.014
Bosondjo,2026-05-18,1258.821
Bumba,2026-05-18,1163.574
Mondombe,2026-05-18,1119.914
Djolu,2026-05-18,1169.195
Opienge,2026-05-18,511.066
Obokote,2026-05-18,406.727
Lowa,2026-05-18,594.737
Wanierukula,2026-05-18,642.101
Lubutu,2026-05-18,471.833
Kitenda,2026-05-18,2328.808
Kasongo Lunda,2026-05-18,2363.3
Popokabaka,2026-05-18,2426.632
Kimvula,2026-05-18,2497.584
Maluku 1,2026-05-18,2341.034
Kimpese,2026-05-18,2708.917
Nsona Mpangu,2026-05-18,2770.058
Kangu,2026-05-18,2990.833
Kuimba,2026-05-18,3042.96
Kinkonzi,2026-05-18,2973.268
Mangembo,2026-05-18,2753.13
Gombe Matadi,2026-05-18,2658.832
Massa,2026-05-18,2572.504
Bokonzi,2026-05-18,1733.04
Mawuya,2026-05-18,1726.05
Zongo,2026-05-18,1723.177
Libenge,2026-05-18,1679.283
Bili (Nord-Ubangi),2026-05-18,1607.369
Gbadolite,2026-05-18,1435.317
Mobayi Mbongo,2026-05-18,1364.943
Yakoma,2026-05-18,1256.938
Monga,2026-05-18,1171.658
Bondo,2026-05-18,1118.18
Bili (Bas-Uele),2026-05-18,961.269
Ango,2026-05-18,864.009
Opala,2026-05-18,988.754
Kahemba,2026-05-18,2108.809
Gungu,2026-05-18,1949.117
Kitangwa,2026-05-18,1801.171
Mukedi,2026-05-18,1795.129
Kongolo,2026-05-18,809.23
Mbulula,2026-05-18,894.07
Kabalo,2026-05-18,937.429
Bukama,2026-05-18,1747.56
Kabondo Dianda,2026-05-18,1296.535
Kabongo,2026-05-18,1244.855
Songa,2026-05-18,1326.359
Kayamba,2026-05-18,1266.469
Kitenge,2026-05-18,1107.325
Ankoro,2026-05-18,1148.297
Mulongo,2026-05-18,1097.991
Lwamba,2026-05-18,1183.48
